trialResp.keys,trialResp.corr,trialResp.rt,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0,0.437,0,0,0,0,1,6,0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.364,0,1,1,1,1,6,0.2,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,2,2,2,1,2,0,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,3,3,3,1,9,0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.297,0,4,4,4,1,9,0.2,-0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,5,5,5,1,6,0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,6,6,6,1,4,-0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,7,7,7,1,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.317,0,8,8,8,1,3,0.2,0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,9,9,9,1,8,0,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,10,10,10,1,1,-0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,11,11,11,1,2,0,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,12,12,12,1,4,-0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.515,0,13,13,13,1,4,-0.2,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,14,14,14,1,8,0,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,0.391,0,15,15,15,1,5,0,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,1.25,0,16,16,16,1,5,0,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,17,17,17,1,1,-0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,18,18,18,1,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,19,19,19,1,6,0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,20,20,20,1,1,-0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,1.233,0,21,21,21,1,1,-0.2,0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,1.867,0,22,22,22,1,1,-0.2,0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,23,23,23,1,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,24,24,24,1,2,0,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,25,25,25,1,1,-0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,26,26,26,1,7,-0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.602,0,27,27,27,1,7,-0.2,-0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,0.75,0,28,28,28,1,2,0,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,29,29,29,1,6,0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,30,30,30,1,4,-0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.452,0,31,31,31,1,4,-0.2,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,32,32,32,1,2,0,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,33,33,33,1,9,0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.299,0,34,34,34,1,9,0.2,-0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,35,35,35,1,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,36,36,36,1,7,-0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.32,0,37,37,37,1,7,-0.2,-0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.623,0,38,38,38,1,7,-0.2,-0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,39,39,39,1,6,0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.508,0,40,40,40,1,6,0.2,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,0.517,0,41,41,41,1,1,-0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,0.433,0,42,42,42,1,5,0,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,43,43,43,1,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,0.532,0,44,44,44,1,1,-0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,45,45,45,1,7,-0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,46,46,46,1,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,0.358,0,47,47,47,1,3,0.2,0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,0.589,0,48,48,48,1,9,0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,49,49,49,1,7,-0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,0.488,0,50,50,50,1,5,0,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,51,51,51,1,8,0,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,1.936,0,52,52,52,1,8,0,-0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,0,53,53,53,1,7,-0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,1.554,0,54,54,54,1,4,-0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,1.784,0,55,55,55,1,5,0,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,1,1.231,0,56,56,56,1,5,0,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,1.852,0,57,57,57,1,2,0,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,0,,0,58,58,58,1,2,0,0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
space,0,0.826,0,59,59,59,1,6,0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,,,,,,,,,,
,1,,,,,,,5,0,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,0,0,0,1,,,,,
,1,,,,,,,2,0,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,1,1,1,1,,,,,
,1,,,,,,,6,0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,2,2,2,1,,,,,
,1,,,,,,,9,0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,3,3,3,1,,,,,
,1,,,,,,,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,4,4,4,1,,,,,
space,1,1.271,,,,,,9,0.2,-0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,5,5,5,1,,,,,
space,0,0.807,,,,,,7,-0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,6,6,6,1,,,,,
space,0,0.165,,,,,,1,-0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,7,7,7,1,,,,,
space,0,0.258,,,,,,5,0,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,8,8,8,1,,,,,
space,0,0.406,,,,,,7,-0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,9,9,9,1,,,,,
space,1,0.332,,,,,,5,0,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,10,10,10,1,,,,,
,1,,,,,,,6,0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,11,11,11,1,,,,,
,1,,,,,,,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,12,12,12,1,,,,,
space,1,0.289,,,,,,6,0.2,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,13,13,13,1,,,,,
,1,,,,,,,8,0,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,14,14,14,1,,,,,
,1,,,,,,,9,0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,15,15,15,1,,,,,
,1,,,,,,,9,0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,16,16,16,1,,,,,
,1,,,,,,,1,-0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,17,17,17,1,,,,,
,1,,,,,,,3,0.2,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,18,18,18,1,,,,,
,1,,,,,,,5,0,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,19,19,19,1,,,,,
,0,,,,,,,3,0.2,0.2,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,20,20,20,1,,,,,
,1,,,,,,,4,-0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,21,21,21,1,,,,,
,1,,,,,,,7,-0.2,-0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,22,22,22,1,,,,,
,0,,,,,,,4,-0.2,0,space,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,23,23,23,1,,,,,
,1,,,,,,,4,-0.2,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,24,24,24,1,,,,,
,1,,,,,,,5,0,0,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,25,25,25,1,,,,,
,1,,,,,,,2,0,0.2,,Emma,001,2022-03-01_16h24.01.271,nBackAlpha3,2020.1.3,MacIntel,60,0,26,26,26,1,,,,,
